https://pureportal.coventry.ac.uk/en/publications/syllables-of-velvet-sentences-of-plush-emily-dickinson-as-polyglo	Syllables of Velvet, Sentences of Plush - Emily Dickinson as Polyglot: The Language of Emily Dickinson	Nicole Panizza, Trisha Kannan
https://pureportal.coventry.ac.uk/en/publications/paya-lebar-pool	Paya Lebar Pool	Donna Wong
https://pureportal.coventry.ac.uk/en/publications/deleuze-reframed-interpreting-key-thinkers-for-the-arts	Deleuze Reframed: Interpreting Key Thinkers for the Arts	Damian Sutton, David Martin-Jones
https://pureportal.coventry.ac.uk/en/publications/hindu-fundamentalism-and-the-spirit-of-global-capitalism-in-india	Hindu Fundamentalism and the Spirit of Global Capitalism in India: Hinduisation of Tribals in Kalahandi during the New Economic Reforms	Bhabani Nayak
https://pureportal.coventry.ac.uk/en/publications/paya-lebar-swimming-complex	Paya Lebar Swimming Complex	Donna Wong
https://pureportal.coventry.ac.uk/en/publications/inter-professional-education-2	Inter-professional education	Martin Bollard
https://pureportal.coventry.ac.uk/en/publications/from-widgets-to-where-the-birmingham-economy-in-the-1990s	From Widgets to Where? The Birmingham Economy in the 1990s	Nick Henry, John Bryson, Peter Daniels
https://pureportal.coventry.ac.uk/en/publications/so-damn-hot-a-from-eroica-with-love-vid-by-diana-williams-2	So Damn Hot – a From Eroica with Love vid by Diana Williams	Mafalda Stasi, Mafalda Stasi (Other), Diana Williams (Other)
https://pureportal.coventry.ac.uk/en/publications/women-in-south-korea-new-femininities-and-consumption-2	Women in South Korea: New Femininities and Consumption	JongMi Kim
https://pureportal.coventry.ac.uk/en/publications/the-archival-turn-in-dancestudies-reflections-on-corporeal-archiv	The Archival Turn in Dance/Studies: Reflections on (Corporeal) Archives and Documents	Susanne Foellmer
https://pureportal.coventry.ac.uk/en/publications/the-emergence-of-peace-studies-in-chinese-higher-education-2	The Emergence of peace studies in Chinese higher education	Alan Hunter
https://pureportal.coventry.ac.uk/en/publications/assessing-efficacy-and-effectiveness-in-person-centred-therapy-ch	Assessing efficacy and effectiveness in person-centred therapy: Challenges and opportunities	Tom Patterson
https://pureportal.coventry.ac.uk/en/publications/engendering-the-state-in-refugee-womens-claims-for-asylum	Engendering the state in refugee women's claims for asylum	Heaven Crawley
https://pureportal.coventry.ac.uk/en/publications/representations-of-dystopia-and-the-film-city-of-london-2	Representations of dystopia and the film city of London	Sara de Freitas
https://pureportal.coventry.ac.uk/en/publications/academic-literacies-and-the-employability-curriculum-resisting-ne-2	Academic Literacies and the Employability Curriculum: Resisting Neoliberal Education?	Catalina Neculai
https://pureportal.coventry.ac.uk/en/publications/issues-of-style-in-dance-analysis-choreographic-style-or-performa-2	Issues of style in dance analysis: choreographic style or performance style?	Sarah Whatley
https://pureportal.coventry.ac.uk/en/publications/in-pole-position-explaining-the-development-of-britains-motor-spo	In Pole Position:  Explaining the Development of Britain’s “Motor Sport Valley”	Nick Henry, Steven Pinch, David Turner
https://pureportal.coventry.ac.uk/en/publications/harnessing-information-technology-2	Harnessing information technology	Lisa Payne
https://pureportal.coventry.ac.uk/en/publications/summer-sex-youth-desire-and-the-carnivalesque-at-the-english-seas	Summer Sex: Youth, Desire and the Carnivalesque at the English Seaside	Suzanne Clisby
https://pureportal.coventry.ac.uk/en/publications/boro-l%C3%AEle-damour-the-films-of-walerian-borowczyk	BORO, L'ÎLE D'AMOUR: The Films of Walerian Borowczyk	Kamila Kuc (Editor), Kuba Mikurda, Michał Oleszcyk
